"cluster_code","province","division","district","n_hh","n_hh_child","n_children"
"892","Khyber PakhtunKhwa","Mardan","Mardan",6,4,9
"894","Khyber PakhtunKhwa","Mardan","Mardan",6,6,15
"895","Khyber PakhtunKhwa","Mardan","Swabi",6,5,13
"896","Khyber PakhtunKhwa","Mardan","Swabi",6,6,17
"897","Khyber PakhtunKhwa","Mardan","Swabi",5,4,7
"90","AJK","Muzaffarabad","Neelum",6,4,17
"901","Khyber PakhtunKhwa","Mardan","Swabi",6,6,21
"902","Khyber PakhtunKhwa","Mardan","Swabi",6,6,22
"903","Khyber PakhtunKhwa","Mardan","Swabi",6,4,10
"904","Khyber PakhtunKhwa","Mardan","Swabi",6,6,22
"907","Khyber PakhtunKhwa","Mardan","Swabi",6,5,12
"908","Khyber PakhtunKhwa","Mardan","Swabi",6,5,13
"909","Khyber PakhtunKhwa","Mardan","Swabi",6,4,9
"91","AJK","Muzaffarabad","Neelum",6,6,20
"910","Khyber PakhtunKhwa","Mardan","Swabi",6,5,13
"911","Khyber PakhtunKhwa","Mardan","Swabi",6,6,32
"912","Khyber PakhtunKhwa","Mardan","Swabi",6,6,21
"913","Khyber PakhtunKhwa","Peshawar","Charsadda",6,5,19
"914","Khyber PakhtunKhwa","Peshawar","Charsadda",6,6,19
"915","Khyber PakhtunKhwa","Peshawar","Charsadda",6,6,22
"916","Khyber PakhtunKhwa","Peshawar","Charsadda",6,6,41
"917","Khyber PakhtunKhwa","Peshawar","Charsadda",6,4,24
"92","AJK","Muzaffarabad","Neelum",6,4,18
"921","Khyber PakhtunKhwa","Peshawar","Nowshera ",6,5,15
"922","Khyber PakhtunKhwa","Peshawar","Nowshera ",6,5,17
"923","Khyber PakhtunKhwa","Peshawar","Nowshera ",6,5,15
"924","Khyber PakhtunKhwa","Peshawar","Nowshera ",6,5,13
"925","Khyber PakhtunKhwa","Peshawar","Nowshera ",5,5,22
"926","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,27
"927","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,18
"929","Khyber PakhtunKhwa","Peshawar","Peshawar",5,4,10
"930","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,14
"931","Khyber PakhtunKhwa","Peshawar","Peshawar",5,3,10
"934","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,17
"935","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,18
"938","Khyber PakhtunKhwa","Peshawar","Peshawar",3,3,10
"939","Khyber PakhtunKhwa","Peshawar","Peshawar",3,3,8
"940","Khyber PakhtunKhwa","Peshawar","Peshawar",3,3,9
"941","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,16
"942","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,19
"943","Khyber PakhtunKhwa","Peshawar","Peshawar",5,3,6
"944","Khyber PakhtunKhwa","Peshawar","Peshawar",6,3,5
"945","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,20
"946","Khyber PakhtunKhwa","Peshawar","Peshawar",6,4,12
"947","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,15
"948","Khyber PakhtunKhwa","Peshawar","Peshawar",5,5,19
"949","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,21
"950","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,8
"951","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,16
"953","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,17
"954","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,10
"955","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,13
"956","Khyber PakhtunKhwa","Peshawar","Peshawar",6,4,10
"957","Khyber PakhtunKhwa","Peshawar","Peshawar",6,4,8
"958","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,13
"959","Khyber PakhtunKhwa","Peshawar","Peshawar",6,5,7
"96","AJK","Muzaffarabad","Neelum",6,6,28
"960","Khyber PakhtunKhwa","Peshawar","Peshawar",6,6,12
"99","AJK","Poonch","Bagh",6,6,16
